,燃油車輛(萬輛),電動車輛 （萬輛）,汰換量 （萬輛）,新售車輛 （萬輛）,電動車於新售機車之占比,電動機車於總登記車輛之佔比
2021,1372.00 ,54.60 ,78,,,3.80%
2022,1373.20 ,65.40 ,78,90,12%,4.5%
2023,1371.81 ,78.79 ,78,90,15%,5.4%
2024,1367.84 ,94.76 ,78,90,18%,6.5%
2025,1361.28 ,113.33 ,78,90,21%,7.7%
2026,1352.13 ,134.48 ,78,90,24%,9.0%
2027,1340.39 ,158.21 ,78,90,26%,10.6%
2028,1326.06 ,184.54 ,78,90,29%,12.2%
2029,1309.15 ,213.45 ,78,90,32%,14.0%
2030,1289.65 ,244.95 ,78,90,35%,16.0%
2031,1263.85 ,282.75 ,78,90,42.00%,18.3%
2032,1231.75 ,326.85 ,78,90,49.00%,21.0%
2033,1193.35 ,377.25 ,78,90,56.00%,24.0%
2034,1148.65 ,433.95 ,78,90,63.00%,27.4%
2035,1097.65 ,496.95 ,78,90,70%,31.2%
2036,1041.25 ,565.35 ,78,90,76.00%,35.2%
2037,979.45 ,639.15 ,78,90,82.00%,39.5%
2038,912.25 ,718.35 ,78,90,88.00%,44.1%
2039,839.65 ,802.95 ,78,90,94.00%,48.9%
2040,761.65 ,892.95 ,78,90,100%,54.0%
2041,683.65 ,982.95 ,78,90,100%,59.0%
2042,605.65 ,1072.95 ,78,90,100%,63.9%
2043,527.65 ,1162.95 ,78,90,100%,68.8%
2044,449.65 ,1252.95 ,78,90,100%,73.6%
2045,371.65 ,1342.95 ,78,90,100%,78.3%
2046,293.65 ,1432.95 ,78,90,100%,83.0%
2047,215.65 ,1522.95 ,78,90,100%,87.6%
2048,137.65 ,1612.95 ,78,90,100%,92.1%
2049,59.65 ,1702.95 ,78,90,100%,96.6%
2050,(18.35),1792.95 ,78,90,100%,101.0%
