年份,總機車輛,電動車輛 （萬輛）,電動機車於總登記車輛之佔比
2021,1426.60 ,54.60 ,0.04 
2022,1401.09142956064,65.40 ,0.05 
2023,1375.58285912128,78.79 ,0.06 
2024,1350.07428868192,94.76 ,0.07 
2025,1324.56571824256,113.33 ,0.09 
2026,1299.0571478032,134.48 ,0.10 
2027,1273.54857736384,158.21 ,0.12 
2028,1248.04000692448,184.54 ,0.15 
2029,1222.53143648512,213.45 ,0.17 
2030,1197.02286604576,244.95 ,0.20 
2031,1171.5142956064,282.75 ,0.24 
2032,1146.00572516704,326.85 ,0.29 
2033,1120.49715472768,377.25 ,0.34 
2034,1094.98858428832,433.95 ,0.40 
2035,1069.48001384896,496.95 ,0.46 
2036,1043.9714434096,565.35 ,0.54 
2037,1018.46287297024,639.15 ,0.63 
2038,992.954302530876,718.35 ,0.72 
2039,967.445732091512,802.95 ,0.83 
2040,941.937161652148,892.95 ,0.95 
2041,916.428591212784,916.43 ,1.00 
2042,890.92002077342,890.92 ,1.00 
2043,865.411450334056,865.41 ,1.00 
2044,839.902879894692,839.90 ,1.00 
2045,814.394309455328,814.39 ,1.00 
2046,788.885739015964,788.89 ,1.00 
2047,763.3771685766,763.38 ,1.00 
2048,737.868598137236,737.87 ,1.00 
2049,712.360027697872,712.36 ,1.00 
2050,686.851457258436,686.85 ,1.00 
