,燃油車輛(萬輛),電動車輛 （萬輛）,汰換量 （萬輛）,新售車輛 （萬輛）,電動車於新售機車之占比,電動機車於總登記車輛之佔比
2021,1372.00 ,54.60 ,78,,,3.80%
2022,1373.20 ,65.40 ,78,90,12%,4.5%
2023,1372.05 ,78.55 ,78,90,14.6%,5.4%
2024,1370.31 ,92.29 ,78,90,15.3%,6.3%
2025,1368.04 ,106.56 ,78,90,15.9%,7.2%
2026,1365.28 ,121.32 ,78,90,16.4%,8.2%
2027,1362.08 ,136.52 ,78,90,16.9%,9.1%
2028,1358.48 ,152.12 ,78,90,17.3%,10.1%
2029,1354.51 ,168.09 ,78,90,17.8%,11.0%
2030,1350.18 ,184.42 ,78,90,18.1%,12.0%
2031,1345.53 ,201.07 ,78,90,18.5%,13.0%
2032,1340.57 ,218.03 ,78,90,18.8%,14.0%
2033,1335.32 ,235.28 ,78,90,19.2%,15.0%
2034,1329.80 ,252.80 ,78,90,19.5%,16.0%
2035,1324.02 ,270.58 ,78,90,19.8%,17.0%
2036,1318.00 ,288.60 ,78,90,20.0%,18.0%
2037,1311.73 ,306.87 ,78,90,20.3%,19.0%
2038,1305.25 ,325.35 ,78,90,20.5%,20.0%
2039,1298.54 ,344.06 ,78,90,20.8%,20.9%
2040,1291.63 ,362.97 ,78,90,21.0%,21.9%
2041,1284.53 ,382.07 ,78,90,21.2%,22.9%
2042,1277.23 ,401.37 ,78,90,21.4%,23.9%
2043,1269.75 ,420.85 ,78,90,21.6%,24.9%
2044,1262.09 ,440.51 ,78,90,21.8%,25.9%
2045,1254.25 ,460.35 ,78,90,22.0%,26.8%
2046,1246.26 ,480.34 ,78,90,22.2%,27.8%
2047,1238.10 ,500.50 ,78,90,22.4%,28.8%
2048,1229.79 ,520.81 ,78,90,22.6%,29.8%
2049,1221.32 ,541.28 ,78,90,22.7%,30.7%
2050,1212.71 ,561.89 ,78,90,22.9%,31.7%
